dataset,method,group,count,mean,std
cora,Pissa,same_label,8550,0.8181914483106625,0.09889409087713942
cora,Pissa,different_label,2006,0.7294353279076212,0.11239119161753242
cora,Orthogonal,same_label,8550,0.902772444186852,0.05933646381440577
cora,Orthogonal,different_label,2006,0.8507123442732563,0.07984724383231073
cora,Eva,same_label,8550,0.809742592761391,0.09679732474667481
cora,Eva,different_label,2006,0.72393206252177,0.101797023980583
cora,Guassian,same_label,8550,0.8952104710974889,0.06259760658006318
cora,Guassian,different_label,2006,0.842177376255081,0.07122627369438185
cora,Loftq,same_label,8550,0.798689906220687,0.09184885800308064
cora,Loftq,different_label,2006,0.7227200085180231,0.095622144150126
