removal_strategy,top_k_ratio,train_number,ensemble_approach,ind_avg_test_acc_change,ind_avg_test_f1_change,ens_test_acc_change,ens_test_f1_change,original_edges,removed_edges,remaining_edges
high_uncertainty,0.05,5,learnable_per_classes,-0.4799999999999983,-0.3439999999999969,,,10556,527,10078
high_uncertainty,0.1,5,learnable_per_classes,-0.6619999999999976,-0.7159999999999969,,,10556,1055,9598
high_uncertainty,0.15,5,learnable_per_classes,0.0020000000000038654,-0.023999999999998068,,,10556,1583,9094
high_uncertainty,0.2,5,learnable_per_classes,-0.404000000000002,-0.4280000000000001,,,10556,2111,8588
high_uncertainty,0.25,5,learnable_per_classes,0.2940000000000026,0.4460000000000008,,,10556,2639,8062
low_confidence,0.05,5,learnable_per_classes,-0.36799999999999783,-0.5599999999999994,,,10556,527,10062
low_confidence,0.1,5,learnable_per_classes,-0.7339999999999975,-0.6659999999999997,,,10556,1055,9544
low_confidence,0.15,5,learnable_per_classes,0.07400000000000091,0.3880000000000024,,,10556,1583,9048
low_confidence,0.2,5,learnable_per_classes,-0.06999999999999602,0.17199999999999704,,,10556,2111,8566
low_confidence,0.25,5,learnable_per_classes,-0.5139999999999958,-0.40599999999999736,,,10556,2639,8048
entropy,0.05,5,learnable_per_classes,0.07600000000000477,0.19400000000000261,,,10556,527,10068
entropy,0.1,5,learnable_per_classes,-0.40399999999999636,-0.28800000000000237,,,10556,1055,9540
entropy,0.15,5,learnable_per_classes,-0.1839999999999975,0.00600000000000307,,,10556,1583,9046
entropy,0.2,5,learnable_per_classes,-0.10999999999999659,0.17600000000000193,,,10556,2111,8536
entropy,0.25,5,learnable_per_classes,-0.0339999999999975,0.23199999999999932,,,10556,2639,8024
